job_title,company,location,experience,salary,skills,city_searched
MIS reporting,Mavair Global,Surat(Amroli),0-1 Yrs,1.25-1.75 Lacs PA,"Communication Skills, Excel, MS Office, Documentation, Formulas, Data Analysis, Power Point Presentation, Microsoft",surat
Office Executive - MIS,mycityband,Surat,0-2 Yrs,Not Disclosed,"Sales, Office Executive, Executive management, FMCG, Management, MS Office, Administration work, MIS Executive",surat
MIS EXECUTIVE,Aactive Hr Plus,Surat,1-3 Yrs,Not Disclosed,"MIS Executive, MIS",surat
MIS Executive - Bancassurance YBL - Sales,Axis Max Life Insurance,"Surat, Jamnagar, Ahmedabad, Rajkot, Vadodara",1-5 Yrs,Not Disclosed,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales",surat
Deputy Manager - MIS & Analytics,Axis Max Life Insurance,"Surat, Jamnagar, Ahmedabad, Rajkot, Vadodara",2-6 Yrs,Not Disclosed,"python, data analysis, data analytics, mis reporting, analytical, pivot table, power bi, business analysis",surat
Financial Data Analyst | Graduate Freshers Welcome | Night Shift,Arise Solution,Vadodara,0-1 Yrs,2.75-3 Lacs PA,"Fluent English, Finance and Accounts, Global MNC, Communication Skills, Spoken English, International Clients, Excellent Communication in English, Problem Solving",vadodara
Medical Data Analyst,Exxat Systems,Vadodara,2-5 Yrs,Not Disclosed,"cloud, salesforce, medical data analyst, osha, hippa, data entry, Data, OHSAS 18001",vadodara
Data Analyst,Little Genius Academy,Vadodara,1-3 Yrs,Not Disclosed,"Data Analyst, Data, Data analysis",vadodara
Data Analyst (Gujarati Speaker - India),Peroptyx,Remote,0-5 Yrs,Not Disclosed,"English, Gujarati, Mapping, Research, Data Analytics, Attention to Detail, Data analysis, Detailing",vadodara
Data Analyst - Bilingual,Numerator,Vadodara,0-7 Yrs,Not Disclosed,"Training, Retail, Usage, French, Database, Data Analyst, Research, Data entry",vadodara
Financial Data Analyst,Appletech,Vadodara,8-13 Yrs,Not Disclosed,"cost reduction, accounts payable, project management, data analysis, data validation, forecasting, regulatory, variance analysis",vadodara
Data Analyst - French,Numerator,Vadodara,1-4 Yrs,Not Disclosed,"Training, Retail, Usage, French, Database, Data Analyst, Research, Data entry",vadodara
QC Data Analyst - Production Validation,Numerator,Vadodara,2-9 Yrs,Not Disclosed,"Quality standards, Usage, Coding, Client servicing, Senior Executive, Manual, Data Analyst, Training and Development",vadodara
Data Analyst - Attribution,Numerator,Vadodara,1-4 Yrs,Not Disclosed,"Training, Quality standards, QC, French, Coding, Data processing, Delivery Executive, Data Analyst",vadodara
Data Analyst (Mechanical & Instrumentation),ITConnectUS,Vadodara,3-6 Yrs,Not Disclosed,"Chemical, MS Access, Pumps, Pharma, instrumentation maintenance, Mechanical, Control valves, Database",vadodara
Data Analyst - Attribution (French),Numerator,Vadodara,1-4 Yrs,Not Disclosed,"Training, Quality standards, QC, French, Coding, Data processing, Delivery Executive, Data Analyst",vadodara
Data Analyst - Power Transformer,Hitachi Energy,Vadodara,0-1 Yrs,Not Disclosed,"Case Analysis, Sap, Compliance, Networking, Power Bi, Data Warehouse, Programming, Data Analyst",vadodara
Data Analyst,99plus It Solutions,Vadodara,2-5 Yrs,Not Disclosed,"Data Analyst, Data, Data analysis",vadodara
Data Analyst - German,Numerator,Vadodara,0-7 Yrs,Not Disclosed,"Training, Retail, Usage, Database, German, Data Analyst, Research, Data entry",vadodara
Sr. QC Data Analyst - Data Quality & Methods,Numerator,Vadodara,3-10 Yrs,Not Disclosed,"Training, Root cause analysis, Usage, Data quality, Data Analyst, Resource management, Powerpoint, Reporting tools",vadodara
Associate Business Analyst (Remote/Work from Home),WovVTech,Remote,0-1 Yrs,Not Disclosed,"Brd, Requirement Gathering, User Stories, Documentation, Business Analysis, Pivot Table, Excel, Requirement Analysis",vadodara
Business Analyst,Unite Computech Info,Vadodara,,Unpaid,,vadodara
Business Analyst,Odysseus Solutions,Vadodara,3-5 Yrs,Not Disclosed,"Business process, Industry research, Data analysis, Usage, Business Analyst, Business analysis, XML, Test scenarios",vadodara
Business Analyst,ARCHER Transnational Systems Pvt. Ltd,Vadodara,4-8 Yrs,7-10 Lacs PA,"Agile, Scrum, Stakeholder Engagement, Mockups, Excel, Wireframe, JIRA, SQL",vadodara
"Senior Business Analyst (Retail, Mobile App, Loyalty)",Techno Compass Consulting,Vadodara,6-11 Yrs,Not Disclosed,"Data analysis, Data validation, Manager Quality Assurance, Publishing, Business analysis, Technical writing, Analytical, Customer support",vadodara
"Senior Business Analyst (Mobile App, Loyalty, Malls, Retail industry)",Techno Compass Consulting,"Vadodara, Mumbai, Chennai",3-8 Yrs,Not Disclosed,"Retail, Data analysis, Manager Quality Assurance, Publishing, Business Analyst, Business analysis, Technical writing, Analytical",vadodara
Business Analyst,Ethics Infinity,Vadodara,7-8 Yrs,Not Disclosed,"data analysis, business requirements, strong analytical skills, business analysis, market research, user stories, research, sql",vadodara
MIS Executive,Intelemark Solutions,Vadodara,0-3 Yrs,Not Disclosed,"Excel, VBA, Saving, MIS Executive, MIS",vadodara
MIS Executive - Bancassurance YBL - Sales,Axis Max Life Insurance,"Vadodara, Jamnagar, Ahmedabad, Rajkot, Surat",1-5 Yrs,Not Disclosed,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales",vadodara
MIS and Dashboard Executive (Aadhar Card Operations),Baroda Global Shared Service,Gandhinagar,0-1 Yrs,2.5-3.5 Lacs PA,"VLOOKUP, Advanced Excel, Pivot, MIS, Formulas, Dashboards, MIS Reporting, Operations",gandhinagar
MIS Executive,GJ Tech Solutions,"Gandhinagar, Ahmedabad",2-3 Yrs,Not Disclosed,"vendor management, hlookup, mis preparation, accounts payable, data analysis, sap, mis reporting, kpi",gandhinagar
MIS Operator,Kabir Technologies,Gandhinagar,1-6 Yrs,Not Disclosed,"hlookup, mis preparation, conditional formatting, data analysis, mis reporting, back office, pivot table, vlookup",gandhinagar
Mis Executive,Spectrum Talent Management,"Gandhinagar, Gandhidham, Ahmedabad",1-4 Yrs,Not Disclosed,"MIS Operations, Back Office Processing, VLOOKUP, Backend Operations, Data Processing, Data Entry, HLOOKUP, Data Entry Operation",gandhinagar
Planning Engineer - (MIS & Material Planning experience),Group Bayport,Gandhinagar,2-4 Yrs,Not Disclosed,"Tally, management information system, Data analysis, Process analysis, Production planning, Time management, Project management, Analytical",gandhinagar
Data Analysts / HTML Editor,Ace Software Exports,Rajkot,0-4 Yrs,Not Disclosed,"Training, Adobe Acrobat, XML, Epub, HTML, Editor, Testing, Data analysis",rajkot
Data Analysts / HTML Editor,I-tech Infonet,Rajkot,0-2 Yrs,Not Disclosed,"Training, Adobe Acrobat, PDF, XML, Epub, HTML, Editor, Testing",rajkot
Data Analyst,Solomo360 Technologies,Rajkot,3-8 Yrs,Not Disclosed,"python, data analysis, data analytics, analytical, sas, insights, predictive analytics, machine learning",rajkot
Deputy Manager - MIS & Analytics,Axis Max Life Insurance,"Rajkot, Jamnagar, Ahmedabad, Surat, Vadodara",2-6 Yrs,Not Disclosed,"python, data analysis, data analytics, mis reporting, analytical, pivot table, power bi, business analysis",rajkot
Mis Executive,Hariom Mobile,"Rajkot, Ahmedabad",2-7 Yrs,2.25-4 Lacs PA,"MIS Operations, Advanced Excel, Operations, Excel, MIS",rajkot
MIS Executive - Bancassurance YBL - Sales,Axis Max Life Insurance,"Rajkot, Jamnagar, Ahmedabad, Surat, Vadodara",1-5 Yrs,Not Disclosed,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales",rajkot
MIS Executive,The Best Enterprises,Rajkot,2-5 Yrs,Not Disclosed,"MIS reporting, ERP, Data validation, MIS, VLOOKUP, Data collection, Advanced Excel, MIS preparation",rajkot
