job_title,company,location,experience,salary,skills,city_searched,min_experience,max_experience,skills_clean
Risk Data Analyst,PURVIEW,Hybrid - Ahmedabad,6-11 Yrs,11-21 Lacs PA,"PowerBI, Risk and DATA Analyst, Data Analysis, JIRA, Risk & Control Management, excel, Project Coordination, Management",ahmedabad,6,11,"powerbi, risk and data analyst, data analysis, jira, risk & control management, excel, project coordination, management"
Senior Data Analyst,Leading Client,Ahmedabad,4-8 Yrs,Not Disclosed,"finance, python, data analysis, data warehousing, power bi, business intelligence, data analyst, sql",ahmedabad,4,8,"finance, python, data analysis, data warehousing, power bi, business intelligence, data analyst, sql"
Senior Data Expert (Data Analyst & Data Modeler) - GCP,Leading Client,Ahmedabad,8-13 Yrs,Not Disclosed,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud",ahmedabad,8,13,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud"
MIS Executive - Manufacturing Data & Client Reporting,HCP Wellness,Ahmedabad,0-5 Yrs,Not Disclosed,"order processing, operational support, data management, order management, back office operations, client reporting, coordination, industrial",ahmedabad,0,5,"order processing, operational support, data management, order management, back office operations, client reporting, coordination, industrial"
Mis Executive,Crystal Voxx,Ahmedabad(Shyamal Cross Road),0-2 Yrs,2.75-3.25 Lacs PA,"Power BI, VLOOKUP, MIS, Advanced Excel, MIS Reporting, Data Analysis, Data Analytics, Excel",ahmedabad,0,2,"power bi, vlookup, mis, excel, mis reporting, data analysis, data analytics, excel"
Business Analyst,Leading Client,Ahmedabad,6-11 Yrs,Not Disclosed,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research",ahmedabad,6,11,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research"
Freelancer Business Analyst through Dashboards Development (WFM),MFI,"Hybrid - Ahmedabad, India, Mumbai (All Areas)",0-7 Yrs,2-6 Lacs PA,"Google Data Studio, Scripting, Data Visualization, Looker Studio, Report Automation, Business Analytics, Power BI, Data Interpretation",ahmedabad,0,7,"google data studio, scripting, data visualization, looker studio, report automation, business analytics, power bi, data interpretation"
Senior Business Analyst,Leading Client,Ahmedabad,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",ahmedabad,8,13,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills"
Senior Business Analyst,Satva Solutions,Ahmedabad,8-13 Yrs,Not Disclosed,"xero, gl, data mapping, api, asana, jira, communication skills, Data",ahmedabad,8,13,"xero, gl, data mapping, api, asana, jira, communication skills, data"
Sr. Business Analyst,Crest Coder,Ahmedabad,4-9 Yrs,Not Disclosed,"project management, data analysis, business requirements, gap analysis, business analysis, uat, user stories, dashboards",ahmedabad,4,9,"project management, data analysis, business requirements, gap analysis, business analysis, uat, user stories, dashboards"
Sr.Business Analyst (Domain : Property casualty),Allies Business Hub,Ahmedabad,5-10 Yrs,Not Disclosed,"Product management, Data analysis, Usage, Project management, Analytical, Market research, Senior Business Analyst, Management",ahmedabad,5,10,"product management, data analysis, usage, project management, analytical, market research, senior business analyst, management"
Mid-Level Business Analyst,Pozitive Electricity & Gas,Ahmedabad,2-3 Yrs,Not Disclosed,"Visio, Diagramming, Process Flow, Data flow diagrams, Figma, Wireframing, Draw.io, Wireframe",ahmedabad,2,3,"visio, diagramming, process flow, data flow diagrams, figma, wireframing, draw.io, wireframe"
Senior Business Analyst - Healthcare,Hexaware Technologies,Ahmedabad,3-7 Yrs,Not Disclosed,"Business process, Data analysis, ODBC, Customer management, Claims, Healthcare, Senior Business Analyst, SDLC",ahmedabad,3,7,"business process, data analysis, odbc, customer management, claims, healthcare, senior business analyst, sdlc"
Business Analyst ( BA ),Iboon Technologies,Ahmedabad,3-8 Yrs,Not Disclosed,"project management, data analysis, strong analytical skills, documentation, project implementation, business analysis, process optimization, uat",ahmedabad,3,8,"project management, data analysis, strong analytical skills, documentation, project implementation, business analysis, process optimization, uat"
Business Analyst,Browseinfo,Ahmedabad,1-5 Yrs,Not Disclosed,"erp, css, python, project management, data analysis, business analysis, user stories, openerp",ahmedabad,1,5,"erp, css, python, project management, data analysis, business analysis, user stories, openerp"
Business Analyst,Squirrel Softech Services,Ahmedabad,3-6 Yrs,Not Disclosed,"Data analysis, Manager Quality Assurance, Business analysis, Competitive analysis, Project management, Process improvement, Market research, Business strategy",ahmedabad,3,6,"data analysis, manager quality assurance, business analysis, competitive analysis, project management, process improvement, market research, business strategy"
Business Analyst,Sandcup Design Studio,Ahmedabad,2-7 Yrs,Not Disclosed,"design studio, Data analysis, Process mapping, Excel, Business Analyst, Analytical, power bi, Business modeling",ahmedabad,2,7,"design studio, data analysis, process mapping, excel, business analyst, analytical, power bi, business modeling"
Business Analyst,Zithas Nextzen,Ahmedabad,1-3 Yrs,Not Disclosed,"Business Analyst, Business analysis, Project management, Process improvement, Healthcare, Business process modeling, JIRA, Business solutions",ahmedabad,1,3,"business analyst, business analysis, project management, process improvement, healthcare, business process modeling, jira, business solutions"
Business Analyst (Cybersecurity),Purview Service,Hybrid - Ahmedabad,6-11 Yrs,15-20 Lacs PA,"Cyber Security, Business Analyst, Regulatory, Data Visualization, Endpoint Protection, Edr, Compliance, Information Security",ahmedabad,6,11,"cyber security, business analyst, regulatory, data visualization, endpoint protection, edr, compliance, information security"
Business Analyst,Gitakshmi Technologies,Ahmedabad,4-5 Yrs,Not Disclosed,"erp, confluence, data analysis, adwords, business requirements, customer relationship, administration, enterprise applications",ahmedabad,4,5,"erp, confluence, data analysis, adwords, business requirements, customer relationship, administration, enterprise applications"
IT Business Analyst - Transport Management System,Rovy Solutions,Remote,3-4 Yrs,Not Disclosed,"Business Analyst, Transport Management System, Project Management, Project Risk Management, SQL, Transport management, IT Business Analysis, Risk",ahmedabad,3,4,"business analyst, transport management system, project management, project risk management, sql, transport management, it business analysis, risk"
